"GEO_ID","NAME","C17002_001E","C17002_001M","C17002_002E","C17002_002M","C17002_003E","C17002_003M","C17002_004E","C17002_004M","C17002_005E","C17002_005M","C17002_006E","C17002_006M","C17002_007E","C17002_007M","C17002_008E","C17002_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under .50","Margin of Error!!Total:!!Under .50","Estimate!!Total:!!.50 to .99","Margin of Error!!Total:!!.50 to .99","Estimate!!Total:!!1.00 to 1.24","Margin of Error!!Total:!!1.00 to 1.24","Estimate!!Total:!!1.25 to 1.49","Margin of Error!!Total:!!1.25 to 1.49","Estimate!!Total:!!1.50 to 1.84","Margin of Error!!Total:!!1.50 to 1.84","Estimate!!Total:!!1.85 to 1.99","Margin of Error!!Total:!!1.85 to 1.99","Estimate!!Total:!!2.00 and over","Margin of Error!!Total:!!2.00 and over",
"1500000US360050001000","Block Group 0; Census Tract 1; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050001001","Block Group 1; Census Tract 1; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050002000","Block Group 0; Census Tract 2; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050002001","Block Group 1; Census Tract 2; Bronx County; New York","1451","399","3","5","71","109","65","65","0","13","0","13","0","13","1312","370",
"1500000US360050002002","Block Group 2; Census Tract 2; Bronx County; New York","2187","826","304","251","315","278","0","13","0","13","18","29","24","37","1526","607",
"1500000US360050002003","Block Group 3; Census Tract 2; Bronx County; New York","1539","532","36","41","0","13","0","13","126","167","304","337","0","13","1073","514",
"1500000US360050004000","Block Group 0; Census Tract 4; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050004001","Block Group 1; Census Tract 4; Bronx County; New York","566","381","0","13","0","13","0","13","0","13","0","13","0","13","566","381",
"1500000US360050004002","Block Group 2; Census Tract 4; Bronx County; New York","1411","815","42","53","69","113","21","34","52","79","67","124","35","51","1125","771",
"1500000US360050004003","Block Group 3; Census Tract 4; Bronx County; New York","3941","886","87","118","119","111","34","54","77","118","965","419","20","78","2639","927",
"1500000US360050004004","Block Group 4; Census Tract 4; Bronx County; New York","563","557","0","13","0","13","0","13","0","13","0","13","0","13","563","557",
"1500000US360050016001","Block Group 1; Census Tract 16; Bronx County; New York","2264","726","219","230","395","202","29","47","63","69","290","225","14","26","1254","637",
"1500000US360050016002","Block Group 2; Census Tract 16; Bronx County; New York","921","481","169","154","9","18","0","13","0","13","153","231","164","244","426","446",
"1500000US360050016003","Block Group 3; Census Tract 16; Bronx County; New York","1322","489","88","89","0","13","581","427","0","13","208","178","0","13","445","306",
"1500000US360050016004","Block Group 4; Census Tract 16; Bronx County; New York","1252","499","26","36","138","122","41","53","16","26","260","319","202","274","569","336",
"1500000US360050019011","Block Group 1; Census Tract 19.01; Bronx County; New York","2396","345","281","171","449","230","146","123","53","75","237","274","2","5","1228","383",
"1500000US360050019021","Block Group 1; Census Tract 19.02; Bronx County; New York","1949","355","424","192","265","171","41","37","22","23","38","51","248","350","911","225",
"1500000US360050019031","Block Group 1; Census Tract 19.03; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050019032","Block Group 2; Census Tract 19.03; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050019040","Block Group 0; Census Tract 19.04; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050019041","Block Group 1; Census Tract 19.04; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050019042","Block Group 2; Census Tract 19.04; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050020011","Block Group 1; Census Tract 20.01; Bronx County; New York","2499","834","1038","650","226","190","104","145","36","56","368","422","0","13","727","447",
"1500000US360050020012","Block Group 2; Census Tract 20.01; Bronx County; New York","988","360","255","253","384","299","39","37","21","26","80","87","0","13","209","162",
"1500000US360050020013","Block Group 3; Census Tract 20.01; Bronx County; New York","813","435","146","191","97","154","266","357","14","26","61","97","177","209","52","61",
"1500000US360050020021","Block Group 1; Census Tract 20.02; Bronx County; New York","584","354","239","267","133","147","79","121","0","13","0","13","0","13","133","162",
"1500000US360050020022","Block Group 2; Census Tract 20.02; Bronx County; New York","1645","727","373","420","533","335","128","149","0","13","0","13","0","13","611","692",
"1500000US360050020023","Block Group 3; Census Tract 20.02; Bronx County; New York","1207","600","138","159","216","313","0","13","152","241","72","119","0","13","629","399",
"1500000US360050023001","Block Group 1; Census Tract 23; Bronx County; New York","2211","544","432","284","368","241","299","321","116","115","153","193","0","13","843","481",
"1500000US360050023002","Block Group 2; Census Tract 23; Bronx County; New York","785","420","223","186","193","262","256","235","0","13","30","48","1","3","82","77",
"1500000US360050023003","Block Group 3; Census Tract 23; Bronx County; New York","1530","412","734","305","227","121","195","210","50","99","0","13","87","133","237","264",
"1500000US360050024000","Block Group 0; Census Tract 24; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050024001","Block Group 1; Census Tract 24; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050025001","Block Group 1; Census Tract 25; Bronx County; New York","1577","596","344","241","444","376","0","13","16","25","39","51","192","278","542","408",
"1500000US360050025002","Block Group 2; Census Tract 25; Bronx County; New York","1023","406","314","320","317","177","48","55","36","55","152","156","0","13","156","148",
"1500000US360050025003","Block Group 3; Census Tract 25; Bronx County; New York","781","274","285","217","97","85","0","13","0","13","68","91","37","43","294","227",
"1500000US360050025004","Block Group 4; Census Tract 25; Bronx County; New York","1426","609","305","417","42","39","0","13","57","91","148","236","0","13","874","416",
"1500000US360050025005","Block Group 5; Census Tract 25; Bronx County; New York","607","392","335","393","29","47","0","13","68","86","57","91","48","73","70","68",
"1500000US360050027011","Block Group 1; Census Tract 27.01; Bronx County; New York","1018","406","369","309","257","209","96","148","0","13","32","50","64","104","200","144",
"1500000US360050027012","Block Group 2; Census Tract 27.01; Bronx County; New York","1794","542","449","372","529","365","226","194","150","128","158","144","0","13","282","195",
"1500000US360050027021","Block Group 1; Census Tract 27.02; Bronx County; New York","1509","640","406","313","193","164","249","346","53","77","104","115","134","127","370","439",
"1500000US360050027022","Block Group 2; Census Tract 27.02; Bronx County; New York","882","432","523","347","101","134","71","94","163","256","0","13","0","13","24","35",
"1500000US360050027023","Block Group 3; Census Tract 27.02; Bronx County; New York","1088","445","277","146","84","71","0","13","154","239","244","194","0","13","329","295",
"1500000US360050027024","Block Group 4; Census Tract 27.02; Bronx County; New York","1633","678","580","473","294","219","55","70","66","82","11","16","126","204","501","534",
"1500000US360050028001","Block Group 1; Census Tract 28; Bronx County; New York","1102","453","0","13","0","13","0","13","0","13","0","13","65","110","1037","453",
"1500000US360050028002","Block Group 2; Census Tract 28; Bronx County; New York","1204","431","0","13","0","13","74","102","20","31","20","33","0","13","1090","424",
"1500000US360050028003","Block Group 3; Census Tract 28; Bronx County; New York","1534","632","18","33","203","278","0","13","47","55","19","35","0","13","1247","594",
"1500000US360050028004","Block Group 4; Census Tract 28; Bronx County; New York","1548","432","54","71","0","13","0","13","94","96","22","37","0","13","1378","440",
"1500000US360050031001","Block Group 1; Census Tract 31; Bronx County; New York","2641","453","180","123","363","238","223","313","191","181","128","120","63","97","1493","304",
"1500000US360050033001","Block Group 1; Census Tract 33; Bronx County; New York","584","214","118","42","62","78","0","13","0","13","43","70","0","13","361","204",
"1500000US360050033002","Block Group 2; Census Tract 33; Bronx County; New York","1675","587","541","426","207","192","92","141","346","319","0","13","20","32","469","255",
"1500000US360050033003","Block Group 3; Census Tract 33; Bronx County; New York","1148","480","341","316","64","93","126","150","0","13","0","13","42","70","575","400",
"1500000US360050035001","Block Group 1; Census Tract 35; Bronx County; New York","945","319","288","264","65","57","35","56","57","84","42","57","0","13","458","227",
"1500000US360050035002","Block Group 2; Census Tract 35; Bronx County; New York","840","262","62","76","228","160","92","113","62","93","69","106","0","13","327","194",
"1500000US360050035003","Block Group 3; Census Tract 35; Bronx County; New York","1744","881","84","134","222","295","99","83","623","813","86","130","0","13","630","322",
"1500000US360050037001","Block Group 1; Census Tract 37; Bronx County; New York","254","130","113","77","15","2","0","13","0","13","0","13","0","13","126","91",
"1500000US360050038001","Block Group 1; Census Tract 38; Bronx County; New York","1211","165","287","297","271","200","72","113","37","61","40","80","6","10","498","278",
"1500000US360050039001","Block Group 1; Census Tract 39; Bronx County; New York","1537","540","24","37","335","285","0","13","315","476","610","563","0","13","253","436",
"1500000US360050039002","Block Group 2; Census Tract 39; Bronx County; New York","995","553","79","115","213","297","0","13","0","13","31","57","0","13","672","593",
"1500000US360050039003","Block Group 3; Census Tract 39; Bronx County; New York","1801","718","120","88","820","556","15","27","47","76","0","13","0","13","799","554",
"1500000US360050039004","Block Group 4; Census Tract 39; Bronx County; New York","326","317","0","13","73","113","0","13","0","13","253","324","0","13","0","13",
"1500000US360050039005","Block Group 5; Census Tract 39; Bronx County; New York","1667","1010","375","363","321","276","0","13","369","524","19","30","0","13","583","645",
"1500000US360050040011","Block Group 1; Census Tract 40.01; Bronx County; New York","1378","320","21","20","86","92","56","62","0","13","61","73","1","13","1153","283",
"1500000US360050041001","Block Group 1; Census Tract 41; Bronx County; New York","1277","539","25","43","410","320","240","164","70","143","74","85","0","13","458","398",
"1500000US360050041002","Block Group 2; Census Tract 41; Bronx County; New York","1459","1076","113","130","109","172","172","167","0","13","51","80","0","13","1014","1001",
"1500000US360050041003","Block Group 3; Census Tract 41; Bronx County; New York","194","247","0","13","0","13","24","39","0","13","0","13","0","13","170","252",
"1500000US360050041004","Block Group 4; Census Tract 41; Bronx County; New York","3312","970","1391","603","639","403","0","13","0","13","0","13","88","151","1194","854",
"1500000US360050042001","Block Group 1; Census Tract 42; Bronx County; New York","866","492","6","77","13","21","0","13","185","325","0","13","0","13","662","413",
"1500000US360050042002","Block Group 2; Census Tract 42; Bronx County; New York","2025","957","685","648","361","358","241","283","51","97","245","265","275","431","167","226",
"1500000US360050042003","Block Group 3; Census Tract 42; Bronx County; New York","1704","760","292","231","28","46","551","544","60","99","44","72","0","13","729","447",
"1500000US360050042004","Block Group 4; Census Tract 42; Bronx County; New York","1570","975","34","58","2","4","2","5","43","69","0","13","0","13","1489","963",
"1500000US360050042005","Block Group 5; Census Tract 42; Bronx County; New York","1177","703","51","69","19","31","97","170","0","13","30","61","77","112","903","680",
"1500000US360050042006","Block Group 6; Census Tract 42; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050042007","Block Group 7; Census Tract 42; Bronx County; New York","634","442","0","13","93","98","0","13","65","101","0","13","0","13","476","449",
"1500000US360050043001","Block Group 1; Census Tract 43; Bronx County; New York","1226","544","131","127","517","478","23","38","0","13","166","222","0","13","389","284",
"1500000US360050043002","Block Group 2; Census Tract 43; Bronx County; New York","1856","757","365","308","350","318","366","456","68","101","29","35","40","55","638","346",
"1500000US360050043003","Block Group 3; Census Tract 43; Bronx County; New York","1294","667","369","257","22","37","75","97","106","108","0","13","0","13","722","580",
"1500000US360050043004","Block Group 4; Census Tract 43; Bronx County; New York","650","308","38","45","263","224","22","33","0","13","0","13","0","13","327","209",
"1500000US360050044001","Block Group 1; Census Tract 44; Bronx County; New York","1175","393","444","285","190","202","29","44","150","207","70","107","0","13","292","256",
"1500000US360050044002","Block Group 2; Census Tract 44; Bronx County; New York","534","292","39","57","180","258","23","35","95","140","106","108","0","13","91","88",
"1500000US360050044003","Block Group 3; Census Tract 44; Bronx County; New York","1811","513","618","401","134","86","132","118","99","91","113","115","0","13","715","480",
"1500000US360050044004","Block Group 4; Census Tract 44; Bronx County; New York","620","321","201","216","55","60","25","38","0","13","25","38","0","13","314","246",
"1500000US360050046001","Block Group 1; Census Tract 46; Bronx County; New York","1715","359","645","342","304","101","87","86","15","22","125","139","0","13","539","256",
"1500000US360050048001","Block Group 1; Census Tract 48; Bronx County; New York","2124","614","479","216","136","143","196","158","372","297","22","34","13","30","906","555",
"1500000US360050048002","Block Group 2; Census Tract 48; Bronx County; New York","2003","476","281","219","288","247","323","306","0","13","231","213","18","28","862","351",
"1500000US360050050011","Block Group 1; Census Tract 50.01; Bronx County; New York","823","412","155","165","276","320","16","25","0","13","73","101","0","13","303","203",
"1500000US360050050012","Block Group 2; Census Tract 50.01; Bronx County; New York","1711","554","242","176","650","403","33","53","210","295","45","39","63","73","468","264",
"1500000US360050050013","Block Group 3; Census Tract 50.01; Bronx County; New York","901","423","406","317","221","170","133","184","37","46","37","56","0","13","67","113",
"1500000US360050050014","Block Group 4; Census Tract 50.01; Bronx County; New York","1070","346","196","155","210","238","94","114","0","13","0","13","82","68","488","265",
"1500000US360050050021","Block Group 1; Census Tract 50.02; Bronx County; New York","1866","537","555","281","261","207","297","275","25","48","59","64","0","13","669","339",
"1500000US360050050022","Block Group 2; Census Tract 50.02; Bronx County; New York","1200","618","75","101","365","318","100","110","18","28","127","119","0","13","515","455",
"1500000US360050050023","Block Group 3; Census Tract 50.02; Bronx County; New York","1896","918","234","138","366","246","132","171","163","206","150","234","0","13","851","837",
"1500000US360050050024","Block Group 4; Census Tract 50.02; Bronx County; New York","1253","406","286","220","257","185","82","120","15","20","83","91","214","206","316","186",
"1500000US360050051001","Block Group 1; Census Tract 51; Bronx County; New York","306","261","0","13","0","13","0","13","0","13","207","235","0","13","99","161",
"1500000US360050051002","Block Group 2; Census Tract 51; Bronx County; New York","4434","1365","696","579","1329","928","555","560","115","161","700","636","150","173","889","650",
"1500000US360050051003","Block Group 3; Census Tract 51; Bronx County; New York","2049","799","175","144","440","460","876","609","1","3","54","88","20","36","483","412",
"1500000US360050052001","Block Group 1; Census Tract 52; Bronx County; New York","949","292","181","134","268","259","28","38","0","13","0","13","0","13","472","184",
"1500000US360050052002","Block Group 2; Census Tract 52; Bronx County; New York","838","188","133","97","143","83","51","50","0","13","71","68","26","38","414","166",
"1500000US360050053001","Block Group 1; Census Tract 53; Bronx County; New York","2340","874","882","678","413","325","441","272","0","13","168","160","0","13","436","431",
"1500000US360050053002","Block Group 2; Census Tract 53; Bronx County; New York","2229","1015","513","335","435","447","511","504","55","74","520","554","0","13","195","183",
"1500000US360050054001","Block Group 1; Census Tract 54; Bronx County; New York","928","434","84","84","2","5","21","34","178","271","36","58","0","13","607","323",
"1500000US360050054002","Block Group 2; Census Tract 54; Bronx County; New York","2750","811","436","329","394","295","23","37","246","232","291","450","88","123","1272","542",
"1500000US360050054003","Block Group 3; Census Tract 54; Bronx County; New York","766","359","77","102","19","30","96","159","0","13","176","191","0","13","398","272",
"1500000US360050054004","Block Group 4; Census Tract 54; Bronx County; New York","862","369","127","123","186","194","95","127","223","185","114","160","0","13","117","111",
"1500000US360050056001","Block Group 1; Census Tract 56; Bronx County; New York","828","226","144","102","108","65","44","45","11","16","7","11","23","30","491","207",
"1500000US360050056002","Block Group 2; Census Tract 56; Bronx County; New York","972","463","126","160","393","363","93","120","0","13","0","13","0","13","360","250",
"1500000US360050056003","Block Group 3; Census Tract 56; Bronx County; New York","731","323","66","83","113","83","276","270","0","13","73","82","37","50","166","90",
"1500000US360050059021","Block Group 1; Census Tract 59.02; Bronx County; New York","1442","535","412","332","233","284","32","49","0","13","70","140","0","13","695","394",
"1500000US360050059022","Block Group 2; Census Tract 59.02; Bronx County; New York","1602","325","386","136","91","60","40","57","136","158","0","13","127","162","822","276",
"1500000US360050060001","Block Group 1; Census Tract 60; Bronx County; New York","1190","345","109","70","193","153","4","7","59","86","179","257","0","13","646","222",
"1500000US360050060002","Block Group 2; Census Tract 60; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
