fromId,toId,car_under_15,car_fifteen_29,car_thirty_44,car_forty5_plus,public_under_15,public_fifteen_29,public_thirty_44,public_forty5_plus,fhv_under_15,fhv_fifteen_29,fhv_thirty_44,fhv_forty5_plus,walk_under_15,walk_fifteen_29,walk_thirty_44,walk_forty5_plus,bike_under_15,bike_fifteen_29,bike_thirty_44,bike_forty5_plus
BX0902,BX0902,31,44,38,13,94,131,112,37,16,23,19,6,16,23,19,6,4,6,5,2
BX0902,BX0902,60,85,73,24,180,252,216,72,31,43,37,12,31,43,37,12,8,11,9,3
BX0991,BX0991,60,85,73,24,180,252,216,72,31,43,37,12,31,43,37,12,8,11,9,3
BX0902,BX0902,31,43,37,12,92,129,111,37,16,22,19,6,16,22,19,6,4,6,5,2
BX0902,BX0902,25,35,30,10,74,103,88,29,13,18,15,5,13,18,15,5,3,4,4,1
BX0902,BX0902,33,46,40,13,98,138,118,39,17,24,20,7,17,24,20,7,4,6,5,2
BX0903,BX0903,33,46,40,13,98,138,118,39,17,24,20,7,17,24,20,7,4,6,5,2
BX0902,BX0902,72,101,87,29,214,300,257,86,37,52,44,15,37,52,44,15,9,13,11,4
BX0902,BX0902,14,19,16,5,40,56,48,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0903,BX0903,14,19,16,5,40,56,48,16,7,10,8,3,7,10,8,3,2,2,2,1
BX0902,BX0902,42,59,50,17,125,175,150,50,22,30,26,9,22,30,26,9,5,8,6,2
BX0902,BX0902,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0902,BX0902,15,21,18,6,46,64,55,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0903,BX0903,15,21,18,6,46,64,55,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0902,BX0902,24,33,28,9,71,99,85,28,12,17,15,5,12,17,15,5,3,4,4,1
BX0903,BX0903,24,33,28,9,71,99,85,28,12,17,15,5,12,17,15,5,3,4,4,1
BX0101,BX0101,50,70,60,20,148,208,178,59,26,36,31,10,26,36,31,10,6,9,8,3
BX0101,BX0101,44,61,52,17,129,181,155,52,22,31,27,9,22,31,27,9,6,8,7,2
BX0902,BX0902,26,36,31,10,77,108,93,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0991,BX0991,26,36,31,10,77,108,93,31,13,19,16,5,13,19,16,5,3,5,4,1
BX0902,BX0902,6,8,7,2,17,24,20,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0991,BX0991,6,8,7,2,17,24,20,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0902,BX0902,8,11,10,3,24,34,29,10,4,6,5,2,4,6,5,2,1,1,1,0
BX0902,BX0902,4,5,4,1,11,15,13,4,2,3,2,1,2,3,2,1,0,1,1,0
BX0902,BX0902,33,46,39,13,97,135,116,39,17,23,20,7,17,23,20,7,4,6,5,2
BX0902,BX0902,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0101,BX0101,21,29,25,8,62,87,75,25,11,15,13,4,11,15,13,4,3,4,3,1
BX0101,BX0101,8,11,10,3,24,33,28,9,4,6,5,2,4,6,5,2,1,1,1,0
BX0101,BX0101,19,26,22,7,55,77,66,22,10,13,11,4,10,13,11,4,2,3,3,1
BX0101,BX0101,27,38,33,11,82,114,98,33,14,20,17,6,14,20,17,6,4,5,4,1
BX0101,BX0101,15,21,18,6,44,62,53,18,8,11,9,3,8,11,9,3,2,3,2,1
BX0101,BX0101,18,25,22,7,54,75,64,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0101,BX0101,27,38,33,11,81,113,97,32,14,20,17,6,14,20,17,6,3,5,4,1
BX0101,BX0101,6,9,7,2,19,26,22,7,3,4,4,1,3,4,4,1,1,1,1,0
BX0101,BX0101,16,22,19,6,47,66,57,19,8,11,10,3,8,11,10,3,2,3,2,1
BX0101,BX0101,18,25,21,7,53,74,63,21,9,13,11,4,9,13,11,4,2,3,3,1
BX0101,BX0101,23,33,28,9,69,97,83,28,12,17,14,5,12,17,14,5,3,4,4,1
BX0101,BX0101,8,12,10,3,25,35,30,10,4,6,5,2,4,6,5,2,1,2,1,0
BX0101,BX0101,20,28,24,8,59,82,71,24,10,14,12,4,10,14,12,4,3,4,3,1
BX0101,BX0101,23,32,27,9,68,95,82,27,12,16,14,5,12,16,14,5,3,4,4,1
BX0201,BX0201,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0901,BX0901,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0991,BX0991,29,41,35,12,86,121,104,35,15,21,18,6,15,21,18,6,4,5,4,1
BX0901,BX0901,32,44,38,13,94,132,113,38,16,23,20,7,16,23,20,7,4,6,5,2
BX0991,BX0991,32,44,38,13,94,132,113,38,16,23,20,7,16,23,20,7,4,6,5,2
BX0901,BX0901,17,24,21,7,51,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
BX0991,BX0991,17,24,21,7,51,72,62,21,9,12,11,4,9,12,11,4,2,3,3,1
BX0901,BX0901,37,52,45,15,110,155,133,44,19,27,23,8,19,27,23,8,5,7,6,2
BX0991,BX0991,37,52,45,15,110,155,133,44,19,27,23,8,19,27,23,8,5,7,6,2
BX0101,BX0101,50,71,60,20,150,210,180,60,26,36,31,10,26,36,31,10,6,9,8,3
