variable,description
b01001a_001,estimate_total
b01001a_002,estimate_total_male
b01001a_003,estimate_total_male_under 5 years
b01001a_004,estimate_total_male_5 to 9 years
b01001a_005,estimate_total_male_10 to 14 years
b01001a_006,estimate_total_male_15 to 17 years
b01001a_007,estimate_total_male_18 and 19 years
b01001a_008,estimate_total_male_20 to 24 years
b01001a_009,estimate_total_male_25 to 29 years
b01001a_010,estimate_total_male_30 to 34 years
b01001a_011,estimate_total_male_35 to 44 years
b01001a_012,estimate_total_male_45 to 54 years
b01001a_013,estimate_total_male_55 to 64 years
b01001a_014,estimate_total_male_65 to 74 years
b01001a_015,estimate_total_male_75 to 84 years
b01001a_016,estimate_total_male_85 years and over
b01001a_017,estimate_total_female
b01001a_018,estimate_total_female_under 5 years
b01001a_019,estimate_total_female_5 to 9 years
b01001a_020,estimate_total_female_10 to 14 years
b01001a_021,estimate_total_female_15 to 17 years
b01001a_022,estimate_total_female_18 and 19 years
b01001a_023,estimate_total_female_20 to 24 years
b01001a_024,estimate_total_female_25 to 29 years
b01001a_025,estimate_total_female_30 to 34 years
b01001a_026,estimate_total_female_35 to 44 years
b01001a_027,estimate_total_female_45 to 54 years
b01001a_028,estimate_total_female_55 to 64 years
b01001a_029,estimate_total_female_65 to 74 years
b01001a_030,estimate_total_female_75 to 84 years
b01001a_031,estimate_total_female_85 years and over
b01001b_001,estimate_total
b01001b_002,estimate_total_male
b01001b_003,estimate_total_male_under 5 years
b01001b_004,estimate_total_male_5 to 9 years
b01001b_005,estimate_total_male_10 to 14 years
b01001b_006,estimate_total_male_15 to 17 years
b01001b_007,estimate_total_male_18 and 19 years
b01001b_008,estimate_total_male_20 to 24 years
b01001b_009,estimate_total_male_25 to 29 years
b01001b_010,estimate_total_male_30 to 34 years
b01001b_011,estimate_total_male_35 to 44 years
b01001b_012,estimate_total_male_45 to 54 years
b01001b_013,estimate_total_male_55 to 64 years
b01001b_014,estimate_total_male_65 to 74 years
b01001b_015,estimate_total_male_75 to 84 years
b01001b_016,estimate_total_male_85 years and over
b01001b_017,estimate_total_female
b01001b_018,estimate_total_female_under 5 years
b01001b_019,estimate_total_female_5 to 9 years
b01001b_020,estimate_total_female_10 to 14 years
b01001b_021,estimate_total_female_15 to 17 years
b01001b_022,estimate_total_female_18 and 19 years
b01001b_023,estimate_total_female_20 to 24 years
b01001b_024,estimate_total_female_25 to 29 years
b01001b_025,estimate_total_female_30 to 34 years
b01001b_026,estimate_total_female_35 to 44 years
b01001b_027,estimate_total_female_45 to 54 years
b01001b_028,estimate_total_female_55 to 64 years
b01001b_029,estimate_total_female_65 to 74 years
b01001b_030,estimate_total_female_75 to 84 years
b01001b_031,estimate_total_female_85 years and over
b01001c_001,estimate_total
b01001c_002,estimate_total_male
b01001c_003,estimate_total_male_under 5 years
b01001c_004,estimate_total_male_5 to 9 years
b01001c_005,estimate_total_male_10 to 14 years
b01001c_006,estimate_total_male_15 to 17 years
b01001c_007,estimate_total_male_18 and 19 years
b01001c_008,estimate_total_male_20 to 24 years
b01001c_009,estimate_total_male_25 to 29 years
b01001c_010,estimate_total_male_30 to 34 years
b01001c_011,estimate_total_male_35 to 44 years
b01001c_012,estimate_total_male_45 to 54 years
b01001c_013,estimate_total_male_55 to 64 years
b01001c_014,estimate_total_male_65 to 74 years
b01001c_015,estimate_total_male_75 to 84 years
b01001c_016,estimate_total_male_85 years and over
b01001c_017,estimate_total_female
b01001c_018,estimate_total_female_under 5 years
b01001c_019,estimate_total_female_5 to 9 years
b01001c_020,estimate_total_female_10 to 14 years
b01001c_021,estimate_total_female_15 to 17 years
b01001c_022,estimate_total_female_18 and 19 years
b01001c_023,estimate_total_female_20 to 24 years
b01001c_024,estimate_total_female_25 to 29 years
b01001c_025,estimate_total_female_30 to 34 years
b01001c_026,estimate_total_female_35 to 44 years
b01001c_027,estimate_total_female_45 to 54 years
b01001c_028,estimate_total_female_55 to 64 years
b01001c_029,estimate_total_female_65 to 74 years
b01001c_030,estimate_total_female_75 to 84 years
b01001c_031,estimate_total_female_85 years and over
b01001d_001,estimate_total
b01001d_002,estimate_total_male
b01001d_003,estimate_total_male_under 5 years
b01001d_004,estimate_total_male_5 to 9 years
b01001d_005,estimate_total_male_10 to 14 years
b01001d_006,estimate_total_male_15 to 17 years
b01001d_007,estimate_total_male_18 and 19 years
b01001d_008,estimate_total_male_20 to 24 years
b01001d_009,estimate_total_male_25 to 29 years
b01001d_010,estimate_total_male_30 to 34 years
b01001d_011,estimate_total_male_35 to 44 years
b01001d_012,estimate_total_male_45 to 54 years
b01001d_013,estimate_total_male_55 to 64 years
b01001d_014,estimate_total_male_65 to 74 years
b01001d_015,estimate_total_male_75 to 84 years
b01001d_016,estimate_total_male_85 years and over
b01001d_017,estimate_total_female
b01001d_018,estimate_total_female_under 5 years
b01001d_019,estimate_total_female_5 to 9 years
b01001d_020,estimate_total_female_10 to 14 years
b01001d_021,estimate_total_female_15 to 17 years
b01001d_022,estimate_total_female_18 and 19 years
b01001d_023,estimate_total_female_20 to 24 years
b01001d_024,estimate_total_female_25 to 29 years
b01001d_025,estimate_total_female_30 to 34 years
b01001d_026,estimate_total_female_35 to 44 years
b01001d_027,estimate_total_female_45 to 54 years
b01001d_028,estimate_total_female_55 to 64 years
b01001d_029,estimate_total_female_65 to 74 years
b01001d_030,estimate_total_female_75 to 84 years
b01001d_031,estimate_total_female_85 years and over
b01001e_001,estimate_total
b01001e_002,estimate_total_male
b01001e_003,estimate_total_male_under 5 years
b01001e_004,estimate_total_male_5 to 9 years
b01001e_005,estimate_total_male_10 to 14 years
b01001e_006,estimate_total_male_15 to 17 years
b01001e_007,estimate_total_male_18 and 19 years
b01001e_008,estimate_total_male_20 to 24 years
b01001e_009,estimate_total_male_25 to 29 years
b01001e_010,estimate_total_male_30 to 34 years
b01001e_011,estimate_total_male_35 to 44 years
b01001e_012,estimate_total_male_45 to 54 years
b01001e_013,estimate_total_male_55 to 64 years
b01001e_014,estimate_total_male_65 to 74 years
b01001e_015,estimate_total_male_75 to 84 years
b01001e_016,estimate_total_male_85 years and over
b01001e_017,estimate_total_female
b01001e_018,estimate_total_female_under 5 years
b01001e_019,estimate_total_female_5 to 9 years
b01001e_020,estimate_total_female_10 to 14 years
b01001e_021,estimate_total_female_15 to 17 years
b01001e_022,estimate_total_female_18 and 19 years
b01001e_023,estimate_total_female_20 to 24 years
b01001e_024,estimate_total_female_25 to 29 years
b01001e_025,estimate_total_female_30 to 34 years
b01001e_026,estimate_total_female_35 to 44 years
b01001e_027,estimate_total_female_45 to 54 years
b01001e_028,estimate_total_female_55 to 64 years
b01001e_029,estimate_total_female_65 to 74 years
b01001e_030,estimate_total_female_75 to 84 years
b01001e_031,estimate_total_female_85 years and over
b01001f_001,estimate_total
b01001f_002,estimate_total_male
b01001f_003,estimate_total_male_under 5 years
b01001f_004,estimate_total_male_5 to 9 years
b01001f_005,estimate_total_male_10 to 14 years
b01001f_006,estimate_total_male_15 to 17 years
b01001f_007,estimate_total_male_18 and 19 years
b01001f_008,estimate_total_male_20 to 24 years
b01001f_009,estimate_total_male_25 to 29 years
b01001f_010,estimate_total_male_30 to 34 years
b01001f_011,estimate_total_male_35 to 44 years
b01001f_012,estimate_total_male_45 to 54 years
b01001f_013,estimate_total_male_55 to 64 years
b01001f_014,estimate_total_male_65 to 74 years
b01001f_015,estimate_total_male_75 to 84 years
b01001f_016,estimate_total_male_85 years and over
b01001f_017,estimate_total_female
b01001f_018,estimate_total_female_under 5 years
b01001f_019,estimate_total_female_5 to 9 years
b01001f_020,estimate_total_female_10 to 14 years
b01001f_021,estimate_total_female_15 to 17 years
b01001f_022,estimate_total_female_18 and 19 years
b01001f_023,estimate_total_female_20 to 24 years
b01001f_024,estimate_total_female_25 to 29 years
b01001f_025,estimate_total_female_30 to 34 years
b01001f_026,estimate_total_female_35 to 44 years
b01001f_027,estimate_total_female_45 to 54 years
b01001f_028,estimate_total_female_55 to 64 years
b01001f_029,estimate_total_female_65 to 74 years
b01001f_030,estimate_total_female_75 to 84 years
b01001f_031,estimate_total_female_85 years and over
b01001g_001,estimate_total
b01001g_002,estimate_total_male
b01001g_003,estimate_total_male_under 5 years
b01001g_004,estimate_total_male_5 to 9 years
b01001g_005,estimate_total_male_10 to 14 years
b01001g_006,estimate_total_male_15 to 17 years
b01001g_007,estimate_total_male_18 and 19 years
b01001g_008,estimate_total_male_20 to 24 years
b01001g_009,estimate_total_male_25 to 29 years
b01001g_010,estimate_total_male_30 to 34 years
b01001g_011,estimate_total_male_35 to 44 years
b01001g_012,estimate_total_male_45 to 54 years
b01001g_013,estimate_total_male_55 to 64 years
b01001g_014,estimate_total_male_65 to 74 years
b01001g_015,estimate_total_male_75 to 84 years
b01001g_016,estimate_total_male_85 years and over
b01001g_017,estimate_total_female
b01001g_018,estimate_total_female_under 5 years
b01001g_019,estimate_total_female_5 to 9 years
b01001g_020,estimate_total_female_10 to 14 years
b01001g_021,estimate_total_female_15 to 17 years
b01001g_022,estimate_total_female_18 and 19 years
b01001g_023,estimate_total_female_20 to 24 years
b01001g_024,estimate_total_female_25 to 29 years
b01001g_025,estimate_total_female_30 to 34 years
b01001g_026,estimate_total_female_35 to 44 years
b01001g_027,estimate_total_female_45 to 54 years
b01001g_028,estimate_total_female_55 to 64 years
