OID_TRACT_20,GEOID_TRACT_20,NAMELSAD_TRACT_20,AREALAND_TRACT_20,AREAWATER_TRACT_20,MTFCC_TRACT_20,FUNCSTAT_TRACT_20,OID_TRACT_10,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_TRACT_10,AREAWATER_TRACT_10,MTFCC_TRACT_10,FUNCSTAT_TRACT_10,AREALAND_PART,AREAWATER_PART
2.07907E+13,36001000100,Census Tract 1,2367456,245021,G5020,S,2.07407E+13,36001000100,Census Tract 1,2367456,245021,G5020,S,2367456,245021
2.07902E+15,36001000201,Census Tract 2.01,615867,0,G5020,S,2.07407E+13,36001000200,Census Tract 2,2065161,0,G5020,S,615867,0\
2.07902E+15,36001000202,Census Tract 2.02,1441490,0,G5020,S,2.07407E+13,36001000200,Census Tract 2,2065161,0,G5020,S,1441490,0\
2.07902E+15,36001000301,Census Tract 3.01,659499,0,G5020,S,2.07407E+13,36001000300,Census Tract 3,5757438,55326,G5020,S,659499,0\
2.07902E+15,36001000302,Census Tract 3.02,5097939,55326,G5020,S,2.07407E+13,36001000300,Census Tract 3,5757438,55326,G5020,S,5097939,55326\
2.07907E+13,36001000401,Census Tract 4.01,9037500,86162,G5020,S,2.07407E+13,36001000401,Census Tract 4.01,9065815,86327,G5020,S,9037500,86162\
2.07907E+13,36001000403,Census Tract 4.03,3138700,0,G5020,S,2.07407E+13,36001000403,Census Tract 4.03,3138700,0,G5020,S,3138700,0\
2.07907E+13,36001000404,Census Tract 4.04,1869128,84679,G5020,S,2.07407E+13,36001000401,Census Tract 4.01,9065815,86327,G5020,S,28315,165\
2.07907E+13,36001000404,Census Tract 4.04,1869128,84679,G5020,S,2.07407E+13,36001000404,Census Tract 4.04,1840813,84514,G5020,S,1840813,84514\
2.07907E+13,36001000501,Census Tract 5.01,547290,0,G5020,S,2.07407E+13,36001000501,Census Tract 5.01,547290,0,G5020,S,547290,0\
2.07907E+13,36001000502,Census Tract 5.02,777455,0,G5020,S,2.07407E+13,36001000502,Census Tract 5.02,777455,0,G5020,S,777455,0\
2.07907E+13,36001000600,Census Tract 6,506881,0,G5020,S,2.07407E+13,36001000600,Census Tract 6,506881,0,G5020,S,506881,0\
2.07907E+13,36001000700,Census Tract 7,1593935,14749,G5020,S,2.07407E+13,36001000700,Census Tract 7,1593935,14749,G5020,S,1593935,14749\
2.07907E+13,36001000800,Census Tract 8,344412,0,G5020,S,2.07407E+13,36001000800,Census Tract 8,344412,0,G5020,S,344412,0\
2.07907E+13,36001001100,Census Tract 11,1740188,264496,G5020,S,2.07407E+13,36001000200,Census Tract 2,2065161,0,G5020,S,7804,0\
2.07907E+13,36001001100,Census Tract 11,1740188,264496,G5020,S,2.07407E+13,36001001100,Census Tract 11,1733316,264496,G5020,S,1731595,264496\
2.07907E+13,36001001100,Census Tract 11,1740188,264496,G5020,S,2.07407E+13,36001002500,Census Tract 25,666417,115684,G5020,S,789,0\
2.07907E+13,36001001400,Census Tract 14,752787,25632,G5020,S,2.07407E+13,36001001400,Census Tract 14,752787,25632,G5020,S,752787,25632\
2.07907E+13,36001001500,Census Tract 15,582402,0,G5020,S,2.07407E+13,36001001500,Census Tract 15,582402,0,G5020,S,582402,0\
2.07907E+13,36001001600,Census Tract 16,915228,0,G5020,S,2.07407E+13,36001001600,Census Tract 16,915228,0,G5020,S,915228,0\
2.07907E+13,36001001700,Census Tract 17,1368040,0,G5020,S,2.07407E+13,36001001700,Census Tract 17,1367247,0,G5020,S,1367247,0\
2.07907E+13,36001001700,Census Tract 17,1368040,0,G5020,S,2.07407E+13,36001001801,Census Tract 18.01,8049528,20810,G5020,S,793,0\
2.07907E+13,36001001802,Census Tract 18.02,1909982,0,G5020,S,2.07407E+13,36001001801,Census Tract 18.01,8049528,20810,G5020,S,4095,0\
2.07907E+13,36001001802,Census Tract 18.02,1909982,0,G5020,S,2.07407E+13,36001001802,Census Tract 18.02,1905941,0,G5020,S,1905887,0\
2.07902E+15,36001001803,Census Tract 18.03,1769248,16372,G5020,S,2.07407E+13,36001001801,Census Tract 18.01,8049528,20810,G5020,S,1769194,16372\
2.07902E+15,36001001803,Census Tract 18.03,1769248,16372,G5020,S,2.07407E+13,36001001802,Census Tract 18.02,1905941,0,G5020,S,54,0\
2.07902E+15,36001001804,Census Tract 18.04,6275446,4438,G5020,S,2.07407E+13,36001001801,Census Tract 18.01,8049528,20810,G5020,S,6275446,4438\
2.07907E+13,36001001901,Census Tract 19.01,870995,0,G5020,S,2.07407E+13,36001001901,Census Tract 19.01,870995,0,G5020,S,870995,0\
2.07907E+13,36001001902,Census Tract 19.02,1172741,0,G5020,S,2.07407E+13,36001001902,Census Tract 19.02,1172741,0,G5020,S,1172741,0\
2.07907E+13,36001002000,Census Tract 20,2891046,7882,G5020,S,2.07407E+13,36001002000,Census Tract 20,2891046,7882,G5020,S,2891046,7882\
