GEOID,year,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,total_population,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000
36005000100,2018,2,1,0,0,0,0,0,1,0,47900,0.0417536534446764,0.0208768267223382,0
36005000100,2019,4,2,0,0,0,0,0,2,0,46630,0.0857816856101223,0.0428908428050611,0
36005000200,2018,43,11,0,2,0,0,0,9,0,51349.4590021226,0.837399280062962,0.214218420481223,0
36005000200,2019,30,8,0,2,0,2,0,4,0,50967.098476733,0.588615026097578,0.156964006959354,0
36005000200,2020,31,12,0,3,0,1,0,8,0,49194.11,0.630156740308952,0.243931641409917,0
36005000200,2021,30,12,0,2,0,0,0,10,0,52308.2,0.573523845209738,0.229409538083895,0
36005000200,2022,17,10,0,4,0,1,0,4,0,59590.41,0.285280802733191,0.167812236901877,0
36005000200,2023,20,10,1,1,0,1,0,8,1,63478.58,0.315066909184169,0.157533454592084,0.0157533454592084
36005000400,2018,48,10,0,3,0,1,0,6,0,70556.86,0.680302383070902,0.141729663139771,0
36005000400,2019,45,18,0,0,0,2,0,16,0,70443.69,0.638808103323378,0.255523241329351,0
36005000400,2020,39,13,0,2,0,1,0,10,0,73513.69,0.530513432260032,0.176837810753344,0
36005000400,2021,25,3,0,0,0,0,0,3,0,76676.72,0.326044202203746,0.0391253042644495,0
36005000400,2022,22,14,0,1,0,0,0,12,0,79480.7,0.276796756948542,0.176143390785436,0
36005000400,2023,23,11,0,1,0,3,0,7,0,80504.88,0.285696966444767,0.136637679604019,0
36005001600,2018,79,21,0,10,0,0,0,11,0,69585.86,1.13528811744225,0.301785448940345,0
36005001600,2019,71,35,0,4,0,1,0,30,0,67779.83,1.04750926639975,0.51637780738016,0
36005001600,2020,46,14,0,5,0,0,0,9,0,70430.64,0.6531248331692,0.198777123138452,0
36005001600,2021,40,13,0,3,0,0,0,9,0,72661.66,0.55049664431008,0.178911409400776,0
36005001600,2022,36,23,0,1,0,2,0,18,0,73840.7,0.487536006565485,0.311481337527949,0
36005001600,2023,26,13,0,3,0,2,0,5,0,71099.69,0.365683732235682,0.182841866117841,0
36005001901,2018,257,95,0,11,0,0,0,84,0,4103.7722312636,62.6253080134681,23.1494329232664,0
36005001901,2019,255,56,0,7,0,0,0,49,0,4641.40773744072,54.9402281430692,12.0653050039681,0
36005001901,2020,136,66,0,3,0,5,0,58,0,24453.42,5.56159424734863,2.69900897297801,0
36005001901,2021,98,41,1,2,0,1,0,37,1,27651.43,3.54412050299026,1.48274429206735,0.0361644949284721
36005001901,2022,84,55,0,4,0,0,0,51,0,27771.3,3.02470536129025,1.98046184370195,0
36005001901,2023,54,34,0,3,0,1,0,30,0,31299.18,1.72528481576834,1.08629043955784,0
36005001902,2018,762,212,0,10,0,1,0,201,0,9832.31401123348,77.4995590182952,21.5615571022029,0
36005001902,2019,737,238,0,13,0,4,0,221,0,11021.7339323922,66.8678816346674,21.5936985468804,0
36005001902,2020,372,174,2,6,0,8,1,160,1,15421.77,24.1217447802684,11.2827515907707,0.129686799893916
