"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US360050001000","Block Group 0; Census Tract 1; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050001001","Block Group 1; Census Tract 1; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050002000","Block Group 0; Census Tract 2; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050002001","Block Group 1; Census Tract 2; Bronx County; New York","348","104","0","13","0","13","0","13","0","13","55","63","0","13","0","13","17","26","0","13","0","13","0","13","44","53","31","37","40","42","69","71","92","51",
"1500000US360050002002","Block Group 2; Census Tract 2; Bronx County; New York","700","247","40","44","19","29","0","13","57","82","3","25","0","13","0","13","0","13","0","13","17","28","41","66","70","69","202","217","113","106","20","30","118","89",
"1500000US360050002003","Block Group 3; Census Tract 2; Bronx County; New York","398","114","0","13","0","13","0","13","18","29","31","51","38","58","0","13","0","13","0","13","41","48","33","50","86","88","0","13","53","60","53","55","45","49",
"1500000US360050004000","Block Group 0; Census Tract 4; Bronx County; New York","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1500000US360050004001","Block Group 1; Census Tract 4; Bronx County; New York","239","162","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","30","0","13","121","171","0","13","0","13","0","13","0","13","74","92","27","41",
"1500000US360050004002","Block Group 2; Census Tract 4; Bronx County; New York","409","197","42","53","0","13","33","54","0","13","0","13","0","13","0","13","0","13","69","88","0","13","123","148","0","13","18","29","8","15","67","59","49","54",
"1500000US360050004003","Block Group 3; Census Tract 4; Bronx County; New York","1346","331","38","60","104","110","50","59","0","13","0","13","0","13","13","23","16","32","6","24","78","55","200","115","127","75","46","47","132","98","361","299","175","111",
"1500000US360050004004","Block Group 4; Census Tract 4; Bronx County; New York","252","179","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","66","80","33","53","32","51","121","163","0","13","0","13","0","13",
"1500000US360050016001","Block Group 1; Census Tract 16; Bronx County; New York","841","207","30","48","118","79","25","39","193","136","10","16","24","29","32","36","21","26","13","23","46","67","135","95","25","31","88","82","44","68","0","13","37","44",
